movie_id,title,tags
628534,The White Tiger,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller. Drama AdarshGourav RajkummarRao PriyankaChopraJonas MaheshManjrekar VijayMaurya RaminBahrani
741228,Locked Down,"During a COVID-19 lockdown, sparring couple Linda and Paxton call a truce to attempt a high-risk jewellery heist at one of the world's most exclusive department stores, Harrods. Comedy Crime Drama AnneHathaway ChiwetelEjiofor StephenMerchant DuléHill JazmynSimon DougLiman"
532865,The Dig,"As WWII looms, a wealthy widow hires an amateur archaeologist to excavate the burial mounds on her estate. When they make a historic discovery, the echoes of Britain's past resonate in the face of its uncertain future‎. Drama History CareyMulligan RalphFiennes LilyJames JohnnyFlynn BenChaplin SimonStone"
775996,Outside the Wire,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device. Thriller Action Science Fiction AnthonyMackie DamsonIdris EnzoCilenti EmilyBeecham HenryGarrett MikaelHåfström"
634528,The Marksman,"Jim Hanson’s quiet life is suddenly disturbed by two people crossing the US/Mexico border – a woman and her young son – desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boy’s reluctant defender. He embraces his role as Miguel’s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins. Action LiamNeeson JacobPerez HarryMaldonado TeresaRuiz AlfredoQuiroz RobertLorenz"
776884,The Ultimate Playlist of Noise,"After learning he must undergo brain surgery that will render him deaf, Marcus, an audio-obsessed high school senior, decides to seize control of his fate by recording the Ultimate Playlist of Noise — a bucket list of all his favorite sounds. Drama Music KeeanJohnson MadelineBrewer OliverCooper ArielaBarer IanGomez BennettLasseter"
678491,No Man's Land,"Late one night, Bill Greer and his son Jackson patrol their ranch when Jackson accidentally kills an immigrant Mexican boy. When Bill tries to take the blame for his son, Jackson flees south on horseback, becoming a gringo ""illegal alien"" in Mexico. Chased by Texas Rangers and Mexican federales, Jackson journeys across Mexico to seek forgiveness from the dead boy's father only to fall in love with the land he was taught to hate. Drama Thriller Action FrankGrillo GeorgeLopez JakeAllyn JorgeA.Jimenez AndieMacDowell ConorAllyn"
766931,Born a Champion,"After a blood- soaked jujitsu match in Dubai, fighting legend Mickey Kelley falls to superstar Blaine. But years later, an online video proves that Blaine cheated, and the world demands a rematch. Can the aging underdog get back into shape in time to vanquish his foe, get revenge, and claim his prize? Action Drama SeanPatrickFlanery DennisQuaid KatrinaBowden MauriceCompte CostasMandylor AlexRanarivelo"
630586,Wrong Turn,"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life. Horror Thriller Drama CharlotteVega AdainBradley BillSage EmmaDumont DylanMcTee MikeP.Nelson"
618416,Penguin Bloom,"When an unlikely ally enters the Bloom family's world in the form of an injured baby magpie they name Penguin, the bird’s arrival makes a profound difference in the struggling family’s life. Drama NaomiWatts AndrewLincoln GriffinMurray-Johnston FelixCameron AbeClifford-Barr GlendynIvin"
602269,The Little Things,"Deputy Sheriff Joe ""Deke"" Deacon joins forces with Sgt. Jim Baxter to search for a serial killer who's terrorizing Los Angeles. As they track the culprit, Baxter is unaware that the investigation is dredging up echoes of Deke's past, uncovering disturbing secrets that could threaten more than his case. Crime Drama Thriller DenzelWashington RamiMalek JaredLeto ChrisBauer MichaelHyatt JohnLeeHancock"
644092,Finding ʻOhana,"Two Brooklyn siblings' summer in a rural Oahu town takes an exciting turn when a journal pointing to long-lost treasure sets them on an adventure, leading them to reconnect with their Hawaiian heritage. Adventure Action Comedy Family KeaPeahu AlexAiono LindsayWatson OwenVaccaro KellyHu JudeWeng"
581734,Nomadland,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad. Drama FrancesMcDormand DavidStrathairn LindaMay Swankie GayDeForest ChloéZhao"
722913,Malcolm & Marie,"As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning. Drama Romance JohnDavidWashington Zendaya SamLevinson"
458220,Palmer,"After 12 years in prison, former high school football star Eddie Palmer returns home to put his life back together—and forms an unlikely bond with Sam, an outcast boy from a troubled home. But Eddie's past threatens to ruin his new life and family. Drama JustinTimberlake RyderAllen JunoTemple AlishaWainwright JuneSquibb FisherStevens"
831564,Falling,Falling is a poetic screendance experience. Animation Documentary MaryTrunk
613911,Bliss,"A mind-bending love story following Greg who, after recently being divorced and then fired, meets the mysterious Isabel, a woman living on the streets and convinced that the polluted, broken world around them is just a computer simulation. Doubtful at first, Greg eventually discovers there may be some truth to Isabel’s wild conspiracy. Science Fiction Romance Drama OwenWilson SalmaHayekPinault NestaCooper JorgeLendeborgJr. RonnyChieng MikeCahill"
586791,Little Fish,A couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship. Romance Science Fiction Drama OliviaCooke JackO'Connell SoKo RaúlCastillo DavidLennon ChadHartigan
